run_id,timestamp,schema_name,complexity,question,num_queries,model,consistency_score,successful_queries,failed_queries,unique_results,confidence_score,models_contributing,total_unique_confidence_results,is_tied,num_tied_results,model_result_rank
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,minimax/minimax-m2.5,1.0,1,0,1,0.9,9,2,false,0,2
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,google/gemini-3-flash-preview,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,moonshotai/kimi-k2.5,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,deepseek/deepseek-chat-v3-0324,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,anthropic/claude-sonnet-4.6,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,qwen/qwen3-coder,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,z-ai/glm-5,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,openai/gpt-oss-120b,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,x-ai/grok-4.1-fast,1.0,1,0,1,0.9,9,2,false,0,1
2b12858deed2727aae83e9eb790abab9,2026-03-10T17:45:44.598325Z,assets_maintenance,complex,What are the names of all maintenance engineers?,1,stepfun/step-3.5-flash,1.0,1,0,1,0.9,9,2,false,0,1
