run_id,schema_name,complexity,question,model,checkpoint,consistency_score,successful_queries,failed_queries,unique_results
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,1,1.0,1,0,1
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,3,0.6666666666666666,3,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,5,0.8,5,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,10,0.9,10,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,15,0.8,15,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,25,0.84,25,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,30,0.8666666666666667,30,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,35,0.8857142857142857,35,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,minimax/minimax-m2.5,40,0.85,40,0,2
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,google/gemini-3-flash-preview,1,1.0,1,0,1
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,google/gemini-3-flash-preview,3,1.0,3,0,1
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,google/gemini-3-flash-preview,5,1.0,5,0,1
2b12858deed2727aae83e9eb790abab9,assets_maintenance,complex,What are the names of all maintenance engineers?,google/gemini-3-flash-preview,10,1.0,10,0,1
